駅名,下り 乗車,下り 降車,下り 通過,上り 乗車,上り 降車,上り 通過
永田,116,12,913,15,121,892
武川,220,12,"1,121",10,234,"1,116"
明戸,45,8,"1,158",5,39,"1,150"
大麻生,34,2,"1,190",2,39,"1,187"
ひろせ野鳥の森,"1,112",131,"2,171",125,"1,086","2,148"
石原,651,300,"2,522",295,654,"2,507"
上熊谷,78,39,"2,561",41,104,"2,570"
熊谷,"3,583","1,843","4,301","1,853","3,636","4,353"
持田,206,181,"4,326",180,205,"4,378"
行田市,569,663,"4,232",691,582,"4,269"
東行田,352,"2,053","2,531","2,076",377,"2,570"
武州荒木,11,16,"2,526",18,15,"2,567"
新郷,50,28,"2,548",34,53,"2,586"
西羽生,8,64,"2,492",67,11,"2,530"
羽生,0,"2,492",0,"2,530",0,0
合計,"7,899","7,899", ,"7,998","7,998",
,,,,,,
相模鉄道本線,,,,,,
横浜,"260,512",0,"260,512",0,"262,707","262,707"
平沼橋,"2,081","2,480","260,113","2,340","2,267","262,634"
西横浜,"1,380","6,477","255,016","6,383","1,437","257,688"
天王町,"2,364","10,277","247,103","10,062","2,564","250,190"
星川,"4,044","12,157","238,990","12,311","4,312","242,191"
和田町,"1,737","7,893","232,834","7,701","1,959","236,449"
上星川,"2,153","9,724","225,263","10,109","2,215","228,555"
西谷,"2,387","9,538","218,112","9,689","2,612","221,478"
鶴ヶ峰,"7,439","25,522","200,029","25,510","7,872","203,840"
二俣川,"15,798","69,901","145,926","69,327","17,240","151,753"
希望ヶ丘,"3,674","15,413","134,187","15,497","4,204","140,460"
三ツ境,"8,657","23,218","119,626","22,965","10,116","127,611"
瀬谷,"4,783","14,489","109,920","14,331","6,168","119,448"
大和,"13,582","29,765","93,737","38,785","9,822","90,485"
相模大塚,"1,011","5,429","89,319","4,914","1,027","86,598"
さがみ野,"5,886","11,934","83,271","10,548","6,040","82,090"
かしわ台,"4,502","5,718","82,055","5,340","4,576","81,326"
海老名,0,"82,055",0,"81,326",0,0
合計,"341,990","341,990", ,"347,138","347,138",
,,,,,,
いずみ野線,,,,,,
二俣川,"45,952",0,"45,952",0,"45,400","45,400"
南万騎が原,518,"5,046","41,424","4,945",558,"41,013"
緑園都市,"1,528","14,482","28,470","14,216","1,561","28,358"
弥生台,935,"7,444","21,961","7,391",995,"21,962"
いずみ野,"3,233","5,283","19,911","5,330","3,260","19,892"
いずみ中央,"2,843","5,692","17,062","5,715","2,904","17,081"
ゆめが丘,656,624,"17,094",634,672,"17,119"
湘南台,0,"17,094",0,"17,119",0,0
合計,"55,665","55,665", ,"55,350","55,350",
,,,,,,
常総線,,,,,,
取手,"11,504",0,"11,504",0,"8,002","8,002"
